"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2024","Cobalt Boats","N/A","R4","24 ft 3 in","N/A","COR4030","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Cobalt Boats","N/A","R4","24 ft 3 in","N/A","COR4093","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Cobalt Boats","R4","Surf","24 ft 3 in","N/A","COW4085","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Cobalt Boats","N/A","R8","28 ft","N/A","COR8033","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Sea-Doo","GTI","SE","N/A","N/A","SD73649","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Sea-Doo","GTI","SE","N/A","N/A","SD39783","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Sea-Doo","GTI","SE","N/A","N/A","SD86381","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Sea-Doo","GTX","300","N/A","N/A","SD46599","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Sea-Doo","GTX","300","N/A","N/A","SD80698","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Yamaha Boats","N/A","275SD","27 ft","N/A","YBC0356","Marine Sales","Fairfield OH","175759","144980","2024-10-11"
"2024","Yamaha Boats","N/A","AR195","19 ft 5 in","N/A","YBC0449","Marine Sales","Fairfield OH","50539","45980","2024-10-11"
"2024","Yamaha Boats","N/A","AR250","24 ft 6 in","N/A","YBC0083","Marine Sales","Fairfield OH","77872","68980","2024-10-11"
"2024","Yamaha Boats","N/A","AR250","24 ft 6 in","N/A","YBC0193","Marine Sales","Fairfield OH","77872","71980","2024-10-11"
"2024","Yamaha Boats","N/A","AR250","24 ft 6 in","N/A","YBC0119","Marine Sales","Fairfield OH","77822","68980","2024-10-11"
"2024","Yamaha Boats","N/A","AR250","24 ft 6 in","N/A","YBC0139","Marine Sales","Fairfield OH","77822","68980","2024-10-11"
"2024","Yamaha Boats","N/A","SX190","19 ft 5 in","N/A","YBC0367","Marine Sales","Fairfield OH","40789","35980","2024-10-11"
"2023","Cobalt Boats","R4","Surf","24 ft 3 in","N/A","COW4045","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2023","Cobalt Boats","R4","Surf","24 ft 3 in","N/A","COW4176","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2025","Cobalt Boats","N/A","CS22","22 ft","N/A","CO455115","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
