Year, Company, Brand, FloorPlan, Msrp, Discount, Stock-Number, Unit Type, Location, Dealer, Date
2024,Heartland,N/A,303SBH,52479,32995,T85171,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Heartland,N/A,315SBH,54789,32995,T85160,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Alliance RV,Delta,251BH,54806,33995,T76853,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Alliance RV,Delta,251BH,54806,34995,T77347,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Forest River RV,N/A,29TQS,48185,34995,T99427,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Heartland,N/A,3211BH,52035,34995,T93857,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Keystone RV,Cougar,22MLS,50179,37995,T80715,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Keystone RV,Cougar,22MLS,49436,37995,T84570,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Keystone RV,Passport,268BHWE,48194,37995,T82512,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Alliance RV,Delta,262RB,54663,38995,T84403,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Forest River RV,N/A,32RLTS,54812,39995,T97944,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Forest River RV,N/A,340BHTS,58053,39995,T89281,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Heartland,N/A,3307BH,63610,39995,T92969,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Heartland,N/A,3307BH,63610,39995,T93867,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Keystone RV,Cougar,26RBS,54522,39995,T83392,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Keystone RV,Cougar,25RDSWE,60826,41995,T76980,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Forest River RV,N/A,340BHTS,58053,42995,T94049,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Keystone RV,Cougar,25RDSWE,59100,43995,T79991,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Keystone RV,Cougar,26RBSWE,58257,43995,T80710,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Alliance RV,Delta,294RK,65014,44995,T84786,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
