Year, Company, Brand, FloorPlan, Msrp, Discount, Stock-Number, Unit Type, Location, Dealer, Date
2025,Jayco,jay flight slx,N/A,262rls,42180,N/A,T95751,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Grand-Design,transcend,N/A,245rlt,42479,N/A,T96954,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Grand-Design,imagine,N/A,2800bh,54212,45599,T96504,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Jayco,jay,feather,18mbh,46035,N/A,T98707,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Jayco,jay,feather,166fbs,47192,N/A,T97105,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,N/A,29tqs,48047,N/A,T97914,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Grand-Design,imagine,N/A,2600rb,49469,N/A,T98202,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Jayco,jay,feather,26fk,65027,49980,T93705,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Jayco,jay,feather,199mbs,51234,N/A,T94963,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Grand-Design,imagine,N/A,2670mk,57309,51599,T96472,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Grand-Design,reflection,N/A,296rdts,69469,52980,T81001,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Grand-Design,imagine,N/A,2970rl,59786,57309,T96576,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Grand-Design,reflection,N/A,310mkts,81078,N/A,T96517,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,heartland,prowler,lynx,17bhx,17457,13995,T98808,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,heartland,prowler,lynx,17bhx,17457,13995,T98809,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,heartland,prowler,lynx,17bhx,17457,13995,T98823,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,heartland,prowler,lynx,17bhx,17457,13995,T98806,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,heartland,prowler,lynx,17bhx,17457,13995,T98807,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,heartland,prowler,lynx,17rbx,17457,13995,T98822,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,light,26bh,32176,21995,T81825,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,heartland,prowler,lynx,2550bhx,31960,22995,T98838,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,heartland,prowler,lynx,2550bhx,31960,22995,T98839,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,light,26bhs,37970,26995,T94768,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,heartland,prowler,lynx,265bhx,37900,26995,T92793,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,N/A,26ath,40723,28995,T89335,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,heartland,prowler,N/A,262srl,48044,29995,T85178,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,heartland,prowler,N/A,271sbr,47382,29995,T82520,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,heartland,prowler,lynx,3005qbx,41032,29995,T97053,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,heartland,prowler,N/A,2909rk,50979,32995,T92962,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,heartland,prowler,N/A,2909rk,50979,32995,T93849,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,heartland,prowler,N/A,303sbh,52479,32995,T85171,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,heartland,prowler,N/A,315sbh,54789,32995,T85160,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,alliance,delta,N/A,251bh,54806,33995,T76853,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,heartland,prowler,N/A,3211bh,52035,34995,T93857,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,alliance,delta,N/A,251bh,54806,35995,T77347,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,Keystone,cougar,half-ton,22mls,50179,37995,T80715,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,Keystone,passport,sl,268bhwe,48194,37995,T82512,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,alliance,delta,N/A,252rl,55092,38995,T83201,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,alliance,delta,N/A,262rb,54663,38995,T81724,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,alliance,delta,N/A,262rb,54663,38995,T84403,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,N/A,32rlts,54812,39995,T97944,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,heartland,prowler,N/A,3307bh,63610,39995,T92969,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,heartland,prowler,N/A,3307bh,63610,39995,T93867,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,Keystone,cougar,half-ton,22mls,49436,39995,T84570,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,Keystone,cougar,half-ton,25rdswe,60826,41995,T76980,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,Keystone,cougar,half-ton,26rbs,54522,41995,T83392,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,N/A,340bhts,58053,42995,T94049,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,N/A,340bhts,58053,42995,T89281,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,Keystone,cougar,half-ton,25rdswe,59100,43995,T79991,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,alliance,delta,N/A,294rk,65014,44995,T84786,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,alliance,delta ultra lite,N/A,234rk,48390,44995,T91769,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,black series camper,black,series,hq15,64399,45995,T83413,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,Keystone,cougar,half-ton,26rbswe,58257,46995,T80710,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,Keystone,cougar,half-ton,30rkd,59172,46995,T90994,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,Keystone,cougar,half-ton,25fkd,57019,48995,T91514,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,black series camper,black,series,hq19,69399,50995,T83418,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,black series camper,N/A,N/A,hq19,69399,50995,T83419,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,light,23mks,N/A,N/A,T97854,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,light,23mks,N/A,N/A,T97853,Travel Trailer,Oklahoma City OK,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,light,15rdx,23845,19999,T84984,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
