"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2023","Thor Motor Coach","Challenger","36FA","255263","154993","78591","ClassA Gas","Naperville IL","Campersinn","2024-10-25"
"2023","Thor Motor Coach","Miramar","34.7","261375","145777","78479","ClassA Gas","Acworth GA","Campersinn","2024-10-25"
"2023","Thor Motor Coach","Miramar","34.7","250493","135777","84168","ClassA Gas","Acworth GA","Campersinn","2024-10-25"
"2025","Thor Motor Coach","Vegas","24.1","176978","119995","92502","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2024","Thor Motor Coach","Vegas","24.1","173978","119774","91021","ClassA Gas","Prescott Valley AZ","Campersinn","2024-10-25"
"2024","Newmar","Bay Star","3124","259267","199995","81990","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3225","N/A","N/A","SEATONBS3225","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2023","Newmar","Bay Star","3225","261188","174995","84063","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3423","N/A","N/A","SEATONBS3423","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3618","N/A","N/A","SEATONBS3618","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3626","N/A","N/A","SEATONBS3626","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3629","N/A","N/A","SEATONBS3629","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3811","N/A","N/A","SEATONBS3811","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3811","N/A","N/A","ATONBS3811","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3826","304797","N/A","96816","ClassA Gas","Louisville KY","Campersinn","2024-10-25"
