"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2024","Grand Design","Momentum","21G","68101","46897","90412","ToyHauler","Mt Morris PA","Meyers","2024-10-17"
"2024","Coachmen RV","Catalina Trail Blazer","28THS","51595","34897","24358","ToyHauler","Bath NY","Meyers","2024-10-17"
"2025","EAST TO WEST","N/A","2600KRB","61158","N/A","24561","ToyHauler","Bath NY","Meyers","2024-10-17"
"2025","EAST TO WEST","N/A","2870KTH","85547","N/A","24593","ToyHauler","Bath NY","Meyers","2024-10-17"
"2025","EAST TO WEST","N/A","2870KTH","85581","N/A","24592","ToyHauler","Bath NY","Meyers","2024-10-17"
"2025","EAST TO WEST","N/A","2870KTH","90969","N/A","24572","ToyHauler","Bath NY","Meyers","2024-10-17"
"2025","EAST TO WEST","N/A","2400KTH","66407","N/A","130297","ToyHauler","Webster NY","Meyers","2024-10-17"
"2025","Forest River RV","XLR Boost","2114BX","58591","N/A","51973","ToyHauler","Harrisburg PA","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","18RR","34823","N/A","100358","ToyHauler","Joppa MD","Meyers","2024-10-17"
"2025","Forest River RV","View","30VCVIEW","59418","N/A","100367","ToyHauler","Joppa MD","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","18RR","34738","N/A","71410","ToyHauler","Branchville NJ","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","25RRT","40759","N/A","71424","ToyHauler","Branchville NJ","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","18RR","35333","N/A","120328","ToyHauler","Albany NY","Meyers","2024-10-17"
"2024","EAST TO WEST","N/A","350TH","158576","96895","80341","ToyHauler","Madison OH","Meyers","2024-10-17"
"2023","Keystone RV","N/A","332ML","74851","44897","15928","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Unknown","N/A","28BHS","45923","N/A","71403","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Forest River RV","Classic","26SRD","62263","N/A","71395","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Brinkley","Model Z","295","94889","N/A","71423","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Brinkley","Model Z","285","97762","N/A","71421","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2024","Forest River RV","Cherokee","16BHSW","37240","19897","120179","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","26EV","26008","N/A","120326","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2024","Forest River RV","Cherokee","29TE","50489","31897","120197","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","16BHSW","36349","N/A","120221","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","20RDSE","37832","N/A","120332","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","23MK","38279","N/A","120266","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","26DBH","40917","N/A","120324","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2024","Forest River RV","N/A","24SRB","157496","94897","120063","ClassC Diesel","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","Forester","2400TSD","200442","N/A","90533","ClassC Diesel","Mt Morris PA","Meyers","2024-10-17"
"2025","Thor Motor Coach","Chateau","24LV","199479","N/A","16518","ClassC Diesel","Caledonia NY","Meyers","2024-10-17"
"2024","Thor Motor Coach","Tiburon Sprinter","24FB","221184","134897","51616","ClassC Diesel","Harrisburg PA","Meyers","2024-10-17"
"2025","Forest River RV","N/A","17SFQ","20568","N/A","71415","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Unknown","N/A","19BH","22896","N/A","71397","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","26EV","25413","N/A","71409","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2024","Ember RV","N/A","24RLD","44686","34897","71260","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2024","Forest River RV","Flagstaff","22FBS","47134","34897","71272","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Unknown","N/A","22MLS","36947","N/A","71399","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Unknown","N/A","26BHS","37992","N/A","71402","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Unknown","N/A","26BHS","37992","N/A","71401","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Coachmen RV","Catalina Summit Series 8","261BHS","38240","N/A","71407","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","22RR","38854","N/A","71392","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Unknown","N/A","26RLS","41282","N/A","71400","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2024","Coachmen RV","N/A","3379BH","61096","41897","71131","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","27GH","41693","N/A","120334","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","27LH","43336","N/A","120347","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2024","Ember RV","Overland Series","201FBQ","77335","46897","120247","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","27RR","47432","N/A","120325","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","N/A","2400RB","48542","N/A","34012","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","Keystone RV","Springdale","310BR","51529","N/A","120344","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","Coachmen RV","Freedom Express","294BHDS","52505","N/A","120243","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","EAST TO WEST","N/A","1900MMK","57038","N/A","24469","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","N/A","2800RL","58339","N/A","24491","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","Coachmen RV","Freedom Express","298FDS","59517","N/A","120245","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","N/A","305RLBS","73610","N/A","120350","Travel Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","26DBH","40407","N/A","100355","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2024","Keystone RV","Springdale","286BHU","45348","N/A","100226","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","26DBH","45956","N/A","100255","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Unknown","N/A","286KBS","46008","N/A","100346","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Coachmen RV","Apex Ultra-Lite","256BHS","50264","N/A","100352","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2025","EAST TO WEST","N/A","2600KRB","60058","N/A","100336","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Forest River RV","N/A","273RL","64634","N/A","100376","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Forest River RV","N/A","270FKS","64835","N/A","100374","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2025","EAST TO WEST","N/A","3150KBH","67592","N/A","100337","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Forest River RV","N/A","310BHI","71230","N/A","100375","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Forest River RV","N/A","12000ROK","20568","N/A","71417","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Forest River RV","N/A","12000ROK","20568","N/A","71416","Travel Trailer","Branchville NJ","Meyers","2024-10-17"
"2025","Ember RV","Overland Series","221MSL","88324","N/A","51952","Travel Trailer","Harrisburg PA","Meyers","2024-10-17"
"2025","Grand Design","Imagine","21BHE","41452","N/A","16482","Travel Trailer","Syracuse NY","Meyers","2024-10-17"
"2025","Grand Design","Imagine","22MLE","47345","N/A","34062","Travel Trailer","Syracuse NY","Meyers","2024-10-17"
"2025","Brinkley","Model Z","285","88148","N/A","34017","Travel Trailer","Syracuse NY","Meyers","2024-10-17"
"2025","Brinkley","Model Z","295","94682","N/A","34072","Travel Trailer","Syracuse NY","Meyers","2024-10-17"
"2025","Keystone RV","Springdale","1700FQ","21446","N/A","100363","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Keystone RV","Springdale","1750RD","23800","N/A","100365","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2024","Forest River RV","N/A","28FKG","56666","34897","100080","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Unknown","N/A","22MLS","37032","N/A","100342","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Unknown","N/A","26BHS","38077","N/A","100345","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Unknown","N/A","26BHS","38077","N/A","100344","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","262DBH","40407","N/A","100353","Travel Trailer","Joppa MD","Meyers","2024-10-17"
"2024","Unknown","N/A","390LOFT","79050","51797","120212","Destination Trailer","Albany NY","Meyers","2024-10-17"
"2024","Unknown","N/A","391LOFT","81090","52897","120213","Destination Trailer","Albany NY","Meyers","2024-10-17"
"2024","Unknown","N/A","421LOFT","86784","53897","120214","Destination Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","Timberwolf","39TN","58215","N/A","120281","Destination Trailer","Albany NY","Meyers","2024-10-17"
