"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2025","Keystone RV","Bullet","2240RKWE","N/A","N/A","25H2417","Travel Trailer","Nanaimo","Arbutus","2024-10-27"
"2025","Keystone RV","Bullet","260RBSWE","N/A","N/A","25H2420","Travel Trailer","Port Alberni","Arbutus","2024-10-27"
"2025","Keystone RV","Classic","1760BH","N/A","N/A","25H2409","Travel Trailer","Nanaimo","Arbutus","2024-10-27"
"2024","Grand Design","Reflection","315RLTS","110032","89990","24H2230","Travel Trailer","Port Alberni","Arbutus","2024-10-27"
"2024","Grand Design","Reflection","312BHTS","113749","92090","24H2140","Travel Trailer","Courtenay","Arbutus","2024-10-27"
"2024","Grand Design","Reflection","312BHTS","113749","92090","24H2315","Travel Trailer","Mill Bay","Arbutus","2024-10-27"
"2024","Grand Design","Reflection","312BHTS","113749","92090","24H2314","Travel Trailer","Nanaimo","Arbutus","2024-10-27"
"2024","Lance","Lance","2375","130672","96990","24H2107","Travel Trailer","Mill Bay","Arbutus","2024-10-27"
"2025","Grand Design","Reflection","315RLTS","114457","99590","25H2391","Travel Trailer","Courtenay","Arbutus","2024-10-27"
"2025","Grand Design","Reflection","315RLTS","114457","99590","25H2390","Travel Trailer","Parksville","Arbutus","2024-10-27"
"2025","Forest River RV","Rockwood GEO Pro","G15FBS","N/A","N/A","25H2467","Travel Trailer","Courtenay","Arbutus","2024-10-27"
"2025","Forest River RV","Rockwood GEO Pro","G19FBS","N/A","N/A","25H2430","Travel Trailer","Port Alberni","Arbutus","2024-10-27"
"2025","Forest River RV","Rockwood GEO Pro","G19FBS","N/A","N/A","25H2431","Travel Trailer","Sidney","Arbutus","2024-10-27"
"2025","Forest River RV","Rockwood GEO Pro","G19FDS","N/A","N/A","25H2433","Travel Trailer","Nanaimo","Arbutus","2024-10-27"
"2025","Forest River RV","Rockwood GEO Pro","G19FDS","N/A","N/A","25H2432","Travel Trailer","Mill Bay","Arbutus","2024-10-27"
"2025","Forest River RV","Rockwood GEO Pro","G20FBS","N/A","N/A","25H2429","Travel Trailer","Mill Bay","Arbutus","2024-10-27"
"2025","Forest River RV","Rockwood GEO Pro","G20FBS","N/A","N/A","25H2428","Travel Trailer","Nanaimo","Arbutus","2024-10-27"
"2025","Forest River RV","Rockwood Mini Lite","2109S","N/A","N/A","25H2427","Travel Trailer","Parksville","Arbutus","2024-10-27"
"2025","Forest River RV","Rockwood Mini Lite","2515S","N/A","N/A","25H2466","Travel Trailer","Port Alberni","Arbutus","2024-10-27"
"2025","Forest River RV","Rockwood Mini Lite","2517S","N/A","N/A","25H2434","Travel Trailer","Sidney","Arbutus","2024-10-27"
"2025","Forest River RV","N/A","24DB","N/A","N/A","25H2425","Travel Trailer","Mill Bay","Arbutus","2024-10-27"
"2025","Forest River RV","Wildwood","22ERAS","N/A","N/A","25H2449","Travel Trailer","Courtenay","Arbutus","2024-10-27"
"2025","Forest River RV","Wildwood","22ERAS","N/A","N/A","25H2451","Travel Trailer","Mill Bay","Arbutus","2024-10-27"
"2025","Forest River RV","Wildwood","22ERAS","N/A","N/A","25H2450","Travel Trailer","Nanaimo","Arbutus","2024-10-27"
"2025","Forest River RV","Wildwood","22ERAS","N/A","N/A","25H2452","Travel Trailer","Port Alberni","Arbutus","2024-10-27"
"2025","Forest River RV","Wildwood","163RDSK","N/A","N/A","25H2462","Travel Trailer","Courtenay","Arbutus","2024-10-27"
"2025","Forest River RV","Wildwood","163RDSK","N/A","N/A","25H2461","Travel Trailer","Sidney","Arbutus","2024-10-27"
"2024","Forest River RV","View","29VIEW","72011","62690","24H2327","Travel Trailer","Parksville","Arbutus","2024-10-27"
"2024","Grand Design","Imagine","2600RB","75944","62990","24H2261","Travel Trailer","Parksville","Arbutus","2024-10-27"
"2023","Winnebago","Micro Minnie","2306BHS","90161","62990","23H1876","Travel Trailer","Port Alberni","Arbutus","2024-10-27"
"2024","Forest River RV","Rockwood Ultra Lite","2616BH","84606","63990","24H2160","Travel Trailer","Courtenay","Arbutus","2024-10-27"
"2024","Forest River RV","Rockwood Ultra Lite","2616BH","84606","63990","24H2161","Travel Trailer","Mill Bay","Arbutus","2024-10-27"
"2024","Forest River RV","N/A","2706WS","86632","64990","24H2158","Travel Trailer","Port Alberni","Arbutus","2024-10-27"
"2024","Grand Design","Imagine","2660BS","80023","64990","24H2304","Travel Trailer","Sidney","Arbutus","2024-10-27"
"2024","Grand Design","Imagine","2660BS","80023","64990","24H2347","Travel Trailer","Nanaimo","Arbutus","2024-10-27"
"2024","Grand Design","Imagine","2660BS","80023","64990","24H2346","Travel Trailer","Port Alberni","Arbutus","2024-10-27"
"2024","Grand Design","Imagine","2660BS","80023","64990","24H2345","Travel Trailer","Mill Bay","Arbutus","2024-10-27"
