"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2025","Forest River RV","N/A","25SUT","64995","41995","VE005376","ToyHauler","Location Murray South","Parris","2024-10-15"
"2025","Forest River RV","N/A","29SUT","74776","49995","VE005352","ToyHauler","Location   Pocatello ID","Parris","2024-10-15"
"2025","Forest River RV","N/A","29SUT","74693","48995","VE005384","ToyHauler","Location Murray South","Parris","2024-10-15"
"2024","Forest River RV","N/A","2914","84294","51995","XL170736","ToyHauler","Location   Payson","Parris","2024-10-15"
"2023","Forest River RV","N/A","3517","84746","49888","XL170637","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Forest River RV","N/A","2714M","56290","38995","XL002102","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","Prime","79080","49995","RA477658","ToyHauler","Location Murray South","Parris","2024-10-15"
"2023","Forest River RV","Rockwood GEO Pro","G19FBTH","50381","27888","RO030565","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Forest River RV","N/A","2450SRX","59200","39995","SS012422","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Forest River RV","N/A","2450SRX","59199","39888","SS012423","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Forest River RV","N/A","2530SRE","51686","36995","SS012493","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Forest River RV","N/A","2600SRT","86187","63995","SS012547","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Forest River RV","N/A","2600SRT","86187","61995","SS012583","ToyHauler","Location Murray South","Parris","2024-10-15"
"2024","Forest River RV","N/A","2700SRS","77545","56995","SS012476","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Forest River RV","N/A","2730SRX","66460","52995","SS012532","ToyHauler","Location   Pocatello ID","Parris","2024-10-15"
"2024","Forest River RV","N/A","2730SRX","65751","49995","SS012563","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Forest River RV","N/A","2750SRX","64888","49995","SS012516","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Forest River RV","N/A","2750SRX","64549","49995","SS012517","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Forest River RV","N/A","2750SRX","65133","48995","SS012574","ToyHauler","Location Murray South","Parris","2024-10-15"
"2025","Cruiser","Stryker","ST2614","79389","57995","ST540768","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Cruiser","Stryker","ST2915","83877","59995","ST538996","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Cruiser","Stryker","ST2915","83702","59995","ST538994","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Cruiser","Stryker","ST2915","83877","59995","ST538995","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Cruiser","Stryker","ST2915","83877","59995","ST538997","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Cruiser","Stryker","ST2916","86534","59995","ST536538","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Cruiser","Stryker","ST2916","86534","59995","ST536537","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Cruiser","Stryker","ST2916","86534","59995","ST539889","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Cruiser","Stryker","ST2916","86534","59995","ST539890","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Cruiser","Stryker","ST2916","86485","57888","ST529780","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Cruiser","Stryker","STG3313","97886","63888","ST529769","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Forest River RV","Cherokee","18RRBL","47787","28995","WP034021","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Heartland","N/A","316","116676","76995","TO539137","ToyHauler","Location Murray South","Parris","2024-10-15"
"2024","Heartland","N/A","424","141190","82995","TO536053","ToyHauler","Location Murray South","Parris","2024-10-15"
"2025","Alliance RV","Valor All-Access","31T13","87678","74995","VA009501","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","2016","61334","55995","PL233323","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","2816","128955","99995","PL233489","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Unknown","N/A","2917","129955","99995","PL233491","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Cruiser","Stryker","ST2314","73400","52995","ST538987","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Cruiser","Stryker","ST2314","71098","49995","ST532341","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Cruiser","Stryker","ST2516","77467","49995","ST527344","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Cruiser","Stryker","ST2516","77467","49995","ST527343","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Cruiser","Stryker","ST2516","76849","49995","ST529196","ToyHauler","Location   Pocatello ID","Parris","2024-10-15"
"2025","Cruiser","Stryker","ST2614","79389","57995","ST540763","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Unknown","N/A","VCK4215TS","128928","89995","VO477102","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Unknown","N/A","VCKS395","112008","78888","VO477060","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Heartland","Cyclone","3714","151838","94995","CY539614","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Heartland","Cyclone","3714","151838","93995","CY536788","ToyHauler","Location   Payson","Parris","2024-10-15"
"2023","Heartland","Cyclone","4006","176274","99888","CY524382","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Heartland","Cyclone","4008","175769","114995","CY538303","ToyHauler","Location Murray South","Parris","2024-10-15"
"2025","Heartland","Cyclone","4008","175769","114995","CY540167","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Heartland","Cyclone","4014C","171111","119995","CY538761","ToyHauler","Location Murray South","Parris","2024-10-15"
"2025","Heartland","Cyclone","4014C","171111","119995","CY538759","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Heartland","Cyclone","4118","168338","109995","CY540295","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Heartland","Cyclone","4270","176677","109995","CY534703","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Heartland","N/A","316","116676","75995","TO539136","ToyHauler","Location Murray South","Parris","2024-10-15"
"2025","Forest River RV","FR3","35G","240405","169995","FRA01667","ClassA Gas","Location Murray North","Parris","2024-10-15"
"2025","Forest River RV","Georgetown 5 Series","34M5","225493","149995","GEA03461","ClassA Gas","Location   Payson","Parris","2024-10-15"
"2025","Coachmen RV","Mirada","33SS","242800","159995","MIA03561","ClassA Gas","Location   Pocatello ID","Parris","2024-10-15"
"2024","Coachmen RV","Pursuit","29SS","193685","119995","PUA11463","ClassA Gas","Location   Pocatello ID","Parris","2024-10-15"
"2023","Coachmen RV","Pursuit","29SS","184731","104888","PUA13201","ClassA Gas","Location   Pocatello ID","Parris","2024-10-15"
"2023","Coachmen RV","Pursuit","29XPS","163278","89888","PUA18666","ClassA Gas","Location   Pocatello ID","Parris","2024-10-15"
"2024","Coachmen RV","Pursuit","31ES","197429","117995","PUA06777","ClassA Gas","Location   Pocatello ID","Parris","2024-10-15"
"2024","Coachmen RV","Pursuit","31ES","196637","117995","PUA06794","ClassA Gas","Location   Pocatello ID","Parris","2024-10-15"
"2025","Forest River RV","FR3","30DS","198362","136995","FRA01734","ClassA Gas","Location   Payson","Parris","2024-10-15"
"2024","Forest River RV","FR3","30DS","196120","127995","FRA03640","ClassA Gas","Location Murray North","Parris","2024-10-15"
"2024","Forest River RV","FR3","32DS","197293","129995","FRA07238","ClassA Gas","Location   Payson","Parris","2024-10-15"
"2024","Forest River RV","FR3","34DS","203886","129995","FRA07027","ClassA Gas","Location Murray North","Parris","2024-10-15"
"2024","Forest River RV","FR3","34DS","203886","129995","FRA09965","ClassA Gas","Location   Payson","Parris","2024-10-15"
"2025","Forest River RV","FR3","33Z","233655","162995","FRA00610","ClassA Gas","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","3016RIKS","125950","79995","RA478629","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Unknown","N/A","3317RCKXL","118108","69888","RA478163","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Unknown","N/A","RCK405","119346","72888","RA478032","ToyHauler","Location Murray South","Parris","2024-10-15"
"2024","Unknown","N/A","RCK405","119226","69888","RA478037","ToyHauler","Location   Payson","Parris","2024-10-15"
